Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Canada,G20,G20,Canada is part of several major international and intergovernmental institutions or groupings including the United Nations NATO the G7 the Group of Ten the G20 the United States–Mexico–Canada Agreement the Commonwealth of Nations the Organisation internationale de la Francophonie the AsiaPacific Economic Cooperation forum and the Organization of American States,P527,Backwards
Ningaloo Coast,Western Australia,Western Australia,The Ningaloo Coast is a World Heritage Site located in the north west coastal region of Western Australia,P131,Forwards
Togo,Ghana,Ghana,Togo ˈtoʊɡoʊ32listen officially the Togolese Republic French République togolaise is a country in West Africa bordered by Ghana to the west Benin to the east and Burkina Faso to the north,P47,Forwards
Arlington Municipal Airport Oregon,United States,United States,Arlington Municipal Airport FAA LID 1S8 is a public airport located one mile 2160km northeast of the central business district of Arlington in Gilliam County Oregon United States,P17,Forwards
Caloocan,Quezon City,Quezon City,South Caloocan is bordered by Manila Quezon City Malabon Navotas and Valenzuela,P47,Forwards
Chongming Island,China,China,Chongming formerly known as Chungming is an alluvial island at the mouth of the Yangtze River in eastern China covering 1267 square kilometers 489160sq160mi as of 2010,P17,Forwards
New Mexico,Arizona,Arizona,It is one of the Mountain States of the Southern Rocky Mountains and shares the Four Corners region of the Western US with Utah Colorado and Arizona,P47,Backwards
Czech Republic,European Union,European Union,    Motto160Pravda vítězí160CzechTruth prevailsAnthem160Kde domov můj160160CzechWhere is my home160aLocation of160the160Czech Republic160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityPrague50°05′N 14°28′Exfeff  xfeff50083°N 14467°Exfeff  50083 14467Official languageCzechmwparseroutput noboldfontweightnormalOfficially recognized languages ,P527,Backwards
Netherlands,Belgium,Belgium,In Europe the Netherlands consists of twelve provinces bordering Germany to the east Belgium to the south and the North Sea to the northwest with maritime borders in the North Sea with those countries and the United Kingdom,P47,Forwards
Agriculture,Organic farming,Organic,Organic,P279,Backwards
Tanzania,Uganda,Uganda,It borders Uganda to the north Kenya to the northeast Comoro Islands and the Indian Ocean to the east Mozambique and Malawi to the south Zambia to the southwest and Rwanda Burundi and the Democratic Republic of the Congo to the west,P47,Backwards
Chihuahua state,New Mexico,New Mexico,states of New Mexico and Texas,P47,Backwards
Caatinga moistforest enclaves,Brazil,Brazil,It is located in northeastern Brazil,P17,Forwards
Metro Manila,Pasig,Pasig,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P131,Backwards
Sre Pok Wildlife Sanctuary,Cambodia,Cambodia,Sre Pok Wildlife Sanctuary Khmer ដែនជម្រកសត្វព្រៃស្រែពក formerly Mondulkiri Protected Forest is a 372971160ha 144005160sq160mi large wildlife sanctuary in Mondulkiri Province eastern Cambodia established on May 9 2016 according to Subdecree No,P17,Forwards
Shanghai,Yangtze,Yangtze,The city is located on the southern estuary of the Yangtze River with the Huangpu River flowing through it,P131,Backwards
Brazil,Amazon rainforest,vast tropical forest,Its Amazon basin includes a vast tropical forest home to diverse wildlife a variety of ecological systems and extensive natural resources spanning numerous protected habitats,P17,Backwards
Small Island Developing States,Developing country,developing countries,Small Island Developing States SIDS are a group of developing countries that are small island countries which tend to share similar sustainable development challenges,P279,Forwards
Kyoto Protocol,United Nations Framework Convention on Climate Change,United Nations Framework Convention on Climate Change,The Kyoto Protocol was an international treaty which extended the 1992 United Nations Framework Convention on Climate Change UNFCCC that commits state parties to reduce greenhouse gas emissions based on the scientific consensus that part one global warming is occurring and part two that humanmade CO2 emissions are driving it,P361,Forwards
Maternal health in Ethiopia,Health in Ethiopia,Health in Ethiopia,Health in Ethiopia has improved from the last decades to then through the major achievement in areas of health service delivery by making health system accessible affordable and acceptable at different level for the beneficiaries and put different efforts to provide quality health services care,P279,Forwards
Lowcarbon economy,Economy,economy,A lowcarbon economy LCE lowfossilfuel economy LFFE or decarbonised economy is an economy based on lowcarbon power sources that therefore has a minimal output of  greenhouse gas GHG emissions into the atmosphere specifically carbon dioxide,P279,Forwards
Government of India,India,India,The seat of the Government is located in New Delhi the capital of India,P17,Forwards
Cynthia Alexander,Philippines,Philippines,Cynthia Veronica Ayala 1971 is a singersongwriter and multiinstrumentalist originally from the Philippines,P27,Forwards
North Region Brazil,Brazil,Brazil,The North Region of Brazil Portuguese Região Norte do Brasil ʁeʒiˈɐ̃w̃ ˈnɔʁtʃi du bɾaˈziw is the largest Region of Brazil corresponding to 4527 of the national territory,P17,Forwards
Botswana,Namibia,Namibia,It is bordered by South Africa to the south and southeast Namibia to the west and north and Zimbabwe to the northeast,P530,Backwards
Bhutan,Bangladesh,Bangladesh,It has since expanded relations with 55 countries including Bangladesh Israel Kuwait Brazil Japan Thailand and Turkey as well as the European Union,P530,Forwards
Norway,European Union,European Union,Norway maintains close ties with both the European Union and the United States,P47,Backwards
Tunisia,North Africa,North Africa,It is a part of the Maghreb region of North Africa and is bordered by Algeria to the west and southwest Libya to the southeast and the Mediterranean Sea to the north and east covering 163610160km2 63170160sq160mi with a population of 11 million,P527,Backwards
Belgium,Brussels,Brussels,The flags official proportions of 1315 are rarely seen proportions of 23 or similar are more commonThe Brussels region is the de facto capital but the City of Brussels municipality is the de jure capital,P131,Backwards
Bali,Indonesia,Indonesia,Bali ˈbɑːli Balinese ᬩᬮᬶ is a province of Indonesia and the westernmost of the Lesser Sunda Islands,P131,Forwards
Sanda Ojiambo,Kenya,Kenyan,Sanda Ojiambo is a Kenyan administrator who was appointed as executive director of the United Nations Global Compact succeeding Lise Kingo of Denmark effective 17 June 2020,P27,Forwards
Economy of Chongqing,China,China,The economy of Chongqing China has developed rapidly since it was separated from the Sichuan province and became a centrallyadministered municipality in 1997,P17,Forwards
Ethiopia,Somaliland,Somaliland, It shares borders with Eritrea to the north Djibouti and Somaliland to the northeast Somalia to the east Kenya to the south South Sudan to the west and Sudan to the northwest,P47,Backwards
Renewable energy,Wind power,onshore wind,As of 2020 in most countries photovoltaic solar and onshore wind are the cheapest forms of building new electricitygenerating plants,P279,Backwards
Utrecht province,Netherlands,Netherlands,Utrecht Dutch pronunciation32ˈytrɛxt32listen officially the Province of Utrecht Dutch Provincie Utrecht is a province of the Netherlands,P150,Backwards
European Union,Malta,Malta,   160Malta,P463,Backwards
Sweden,Finland,Finland,It borders Norway to the west and north Finland to the east and is connected to Denmark in the southwest by a bridgetunnel across the Öresund Strait,P530,Backwards
Central African Republic,Democratic Republic of the Congo,Democratic Republic of the Congo,It is bordered by Chad to the north Sudan to the northeast South Sudan to the southeast the Democratic Republic of the Congo to the south the Republic of the Congo to the southwest and Cameroon to the west,P47,Backwards
Alberta,Northwest Territories,Northwest Territories,Alberta is bordered by British Columbia to the west Saskatchewan to the east the Northwest Territories NWT to the north and the a hrefwikiUSstate titleUS,P47,Backwards
Yeungnam University,South Korea,South Korea,Yeungnam University is a private research university and located in Gyeongsan North Gyeongsang South Korea,P17,Forwards
New Brunswick,Canada,Canada,New Brunswick French NouveauBrunswick is one of the thirteen provinces and territories of Canada,P131,Forwards
New Brunswick,Nova Scotia,Nova Scotia,In 1784 following the arrival of many loyalists fleeing the American Revolution the colony of New Brunswick was officially created separating it from what is now Nova Scotia,P47,Forwards
Vipul Goel,India,India,579 Sector 17 Faridabad Haryana IndiaEducationGraduate in CommerceAlma materUniversity of DelhiOccupationPoliticianWebsiteOfficial Website,P27,Forwards
Nepal,India,India,It is mainly situated in the Himalayas but also includes parts of the IndoGangetic Plain bordering Tibet of China to the north and India in the south east and west while it is narrowly separated from Bangladesh by the Siliguri Corridor and from Bhutan by the Indian state of Sikkim,P530,Backwards
Colombia,United Nations,United Nations,Colombia is a member of major global and regional organisations including the United Nations the WTO the OECD the OAS the Pacific Alliance the Andean Community and a NATO Global Partner,P463,Forwards
